$ 			ID 			1
23.23 			NUM 			2
. 			DOT 			2
ab 			ID 			2
; 			SEMICOL 			2
23.23 			NUM 			3
.23 			NUM 			3
; 			SEMICOL 			3
.23 			NUM 			4
; 			SEMICOL 			4
23.243 			NUM 			5
; 			SEMICOL 			5
92. 			ERR 			6
ab8 			ID 			6
; 			SEMICOL 			6
math 			ID 			7
. 			DOT 			7
pi 			ID 			7
( 			ORB 			7
) 			CRB 			7
; 			SEMICOL 			7
a996 			ID 			8
.76 			NUM 			8
.23asd 			ERR 			8
.642b656 			ERR 			8
. 			DOT 			8
55b 			ERR 			9
.bc 			ERR 			9
. 			DOT 			9
abc 			ID 			9
95 			NUM 			10
{ 			OCB 			10
9.76 			NUM 			10
@ 			ERR 			10
.556 			NUM 			10
. 			DOT 			10
ad 			ID 			10
. 			DOT 			10
dh 			ID 			10
. 			DOT 			10
g 			ID 			10
; 			SEMICOL 			10
gk 			ID 			10
a 			ID 			11
. 			DOT 			11
b55 			ID 			11
. 			DOT 			11
c 			ID 			11
243. 			ERR 			12
.43 			NUM 			12
abc 			ID 			17
- 			PM 			17
5 			NUM 			17
abc 			ID 			18
= 			ASIGN 			18
5 			NUM 			18
/ 			MDM 			18
string 			DT 			20
b 			ID 			20
= 			ASIGN 			20
"sdkfj #sdfjh" 			SC 			20
$ 			ID 			23
'ab 			ERR 			24
cs 			ID 			24
; 			SEMICOL 			24
'\a; 			ERR 			25
'\\' 			CC 			26
a 			ID 			26
; 			SEMICOL 			26
'\'' 			CC 			27
a 			ID 			27
.7 			NUM 			27
; 			SEMICOL 			27
'a' 			CC 			28
; 			SEMICOL 			28
'"' 			ERR 			29
; 			SEMICOL 			29
'\\' 			CC 			30
; 			SEMICOL 			30
'\n' 			CC 			31
; 			SEMICOL 			31
'\'' 			CC 			32
; 			SEMICOL 			32
'\z' 			ERR 			33
; 			SEMICOL 			33
'sd 			ERR 			34
'\\' 			CC 			34
ad 			ID 			34
'; 			ERR 			34
'' 			ERR 			35
} 			CCB 			35
';r 			ERR 			36
'; 			ERR 			36
'\/' 			ERR 			37
; 			SEMICOL 			37
$ 			ID 			38
"" 			SC 			41
; 			SEMICOL 			41
"ABDS" 			SC 			42
; 			SEMICOL 			42
"ABDS 			ERR 			43
"\"a 			ERR 			44
"A\"" 			SC 			45
; 			SEMICOL 			45
"\  Q" 			ERR 			46
; 			SEMICOL 			46
"A" 			SC 			46
; 			SEMICOL 			46
"\n/n" 			SC 			47
; 			SEMICOL 			47
"\r\z\a\n\\\"|%^&&" 			ERR 			48
; 			SEMICOL 			48
$ 			ID 			51
if 			IF 			52
( 			ORB 			52
word 			ID 			52
<= 			COMP 			52
"" 			SC 			52
) 			CRB 			52
; 			SEMICOL 			52
"" 			SC 			53
!= 			COMP 			53
; 			SEMICOL 			53
== 			COMP 			54
"" 			SC 			54
; 			SEMICOL 			54
9 			NUM 			55
>= 			COMP 			55
9 			NUM 			55
; 			SEMICOL 			55
$ 			ID 			56
string 			DT 			59
word 			ID 			59
= 			ASIGN 			59
'\'' 			CC 			59
; 			SEMICOL 			59
if 			IF 			60
( 			ORB 			60
word 			ID 			60
<= 			COMP 			60
"" 			SC 			60
) 			CRB 			60
{ 			OCB 			60
} 			CCB 			61
char 			ID 			62
ch 			ID 			62
; 			SEMICOL 			62
int 			ID 			63
i 			ID 			63
; 			SEMICOL 			63
bool 			DT 			64
flag 			ID 			64
= 			ASIGN 			64
false 			ID 			64
; 			SEMICOL 			64
$ 			ID 			65
$ 			ID 			67
Child_Of 			ID 			68
A_B_C 			ID 			68
; 			SEMICOL 			68
; 			SEMICOL 			68
a 			ID 			68
+ 			PM 			68
b 			ID 			68
- 			PM 			68
55 			NUM 			68
{ 			OCB 			68
while 			WHILE 			69
( 			ORB 			69
a 			ID 			69
<= 			COMP 			69
= 			ASIGN 			69
b 			ID 			69
+ 			PM 			69
+ 			PM 			69
+ 			PM 			69
5&& 			ERR 			69
) 			CRB 			69
) 			CRB 			69
if 			IF 			70
else 			ELSE 			70
( 			ORB 			70
a 			ID 			70
< 			COMP 			70
>= 			COMP 			70
! 			NOT 			70
+ 			PM 			70
= 			ASIGN 			70
56 			NUM 			70
int 			ID 			71
ch 			ID 			71
= 			ASIGN 			71
"abc" 			SC 			71
+ 			PM 			71
= 			ASIGN 			71
; 			SEMICOL 			71
53 			NUM 			71
